الرقم,الفئة,العربية,الأمهرية,النطق
37,التحيات والترحيب,أتمنى لك يوماً سعيداً. (ف),መልካም ቀን ይሁንልሽ።,مِلكام قيِن ييهونليِش.
38,التحيات والترحيب,تفصل بالدخول. (م),ግባ።,غيبا.
39,التحيات والترحيب,تفصلي بالدخول. (ف),ግቢ።,غيبي.
40,التحيات والترحيب,تفضلوا بالدخول. (ج),ግቡ።,غيبو.
41,التحيات والترحيب,تفضل بالجلوس. (م),ተቀመጥ።,تيكيِمِط.
42,التحيات والترحيب,تفضلي بالجلوس. (ف),ተቀመጪ።,تيكيِمِطي.
43,التحيات والترحيب,تفضل بالجلوس. (احترام),እባክዎ ይቀመጡ።,إيباكِوو ييقيِمِطو.
44,التحيات والترحيب,هل أنت مرتاح؟ (م),ተመችቶሃል?,تيميِتشيتوهال؟
45,التحيات والترحيب,نعم، أنا مرتاح.,አዎ፣ ተመችቶኛል።,أوو، تيميِتشيتونيا.
46,التحيات والترحيب,ما أخبار العائلة؟,ቤተሰቡ እንዴት ነው?,بيتيِسيَبو إنديِت نيِو؟
47,التحيات والترحيب,الجميع بخير.,ሁሉም ደህና ናቸው።,هولوم ديحنا ناتشو.
48,التحيات والترحيب,هل أتيت بالسلام؟ (م),በሰላም መጣህ?,بيسالام ميطاح؟
49,التحيات والترحيب,نعم، أتيت بسلام.,አዎ፣ በሰላም መጣሁ።,أوو، بيسالام ميطاهو.
50,التحيات والترحيب,لقد اشتقت إليك. (م),ናፍቀኸኛል።,نافيقيِهونيا.
51,التحيات والترحيب,لقد اشتقت إليك. (ف),ናፍቀሽኛል።,نافيقيِشيني.
52,التحيات والترحيب,مرحباً بعودتك! (م),በሰላም ተመለስክ!,بيسالام تيميليسك!
53,التحيات والترحيب,عيد ميلاد سعيد!,መልካም ልደት!,مِلكام لِديِت!
54,التحيات والترحيب,سنة جديدة سعيدة!,መልካም አዲስ አመት!,مِلكام أَديس أمِت!
55,التحيات والترحيب,مرحباً بك في منزلي. (م),እንኳን ወደ ቤቴ መጣህ።,إنكوان ويديِ بيتيِ ميطاح.
56,التحيات والترحيب,شكراً على الترحيب.,ለእንግዳ ተቀባይነትህ አመሰግናለሁ።,ليإنجيدا تيقيِبالينيِتيِه أميسيغينالو.
57,التحيات والترحيب,أنا سعيد لرؤيتك. (م),በማየትህ ደስ ብሎኛል።,بيماييِتيِه ديس ب
58,التعريف بالنفس,صباح الخير,እንደምን አደርክ (مذكر),إنديمن أدرك
59,التعريف بالنفس,صباح الخير,እንደምን አደርሽ (مؤنث),إنديمن أدرش
60,التعريف بالنفس,مساء الخير,እንደምን አመሸህ (مذكر),إنديمن أمشيه
61,التعريف بالنفس,مساء الخير,እንደምን አመሸሽ (مؤنث),إنديمن أمشش
62,التعريف بالنفس,أنا,እኔ,إني
63,التعريف بالنفس,اسمي هو...,ስሜ ነው...,سيمي نيو...
64,التعريف بالنفس,يمكنك مناداتي بـ...,...ብለህ ልትጠራኝ ትችላለህ,...بليه لتتّران تِتشلاليه
65,التعريف بالنفس,أنا سعيد بلقائك (مذكر),ስላገኘሁህ ደስ ብሎኛል,سلاجينيوه دس بلوغنيال
66,التعريف بالنفس,أنا سعيد بلقائك (مؤنث),ስላገኘሁሽ ደስ ብሎኛል,سلاجينيوش دس بلوغنيال
67,التعريف بالنفس,أنا بخير، شكراً,ደህና ነኝ፣ አመሰግናለሁ,ديحنا نيني، أمسيجّناليو
68,التعريف بالنفس,أنا لست بخير,ደህና አይደለሁም,ديحنا أيديليهوم
69,التعريف بالنفس,عمري... سنة,ዕድሜዬ ... ዓመት ነው,إدّميي ... عاميت نيو
70,التعريف بالنفس,كم عمرك؟ (مذكر),ዕድሜህ ስንት ነው?,إدّميه سنت نيو؟
71,التعريف بالنفس,كم عمرك؟ (مؤنث),ዕድሜሽ ስንት ነው?,إدّميش سنت نيو؟
72,التعريف بالنفس,سأبلغ 30 عاماً قريباً,በቅርቡ ሠላሳ ዓመት እሞላለሁ,بقرّبو سيلاسا عاميت إمّولاليو
73,التعريف بالنفس,تاريخ ميلادي هو...,የተወለድኩበት ቀን ነው...,يتيولّدكوبت قيّن نيو...
74,التعريف بالنفس,أين ولدت؟,የት ነው የተወለድከው? (مذكر),يِت نيو يتيولّدكيو؟
75,التعريف بالنفس,أين ولدت؟,የት ነው የተወለድሽው? (مؤنث),يِت نيو يتيولّدشيو؟
76,التعريف بالنفس,أنا من...,እኔ ከ... ነኝ,إني كي... نيني
77,التعريف بالنفس,جنسيتي هي...,ዜግነቴ ነው...,زيغنيتي نيو...
78,التعريف بالنفس,أنا عربي,እኔ ዓረብ ነኝ,إني أرِبّ نيني
79,التعريف بالنفس,أنا أعيش في...,የምኖረው በ... ነው,يمنّوريو بي... نيو
80,التعريف بالنفس,أنا أعيش في إثيوبيا,ኢትዮጵያ ውስጥ እኖራለሁ,إيتْيوبْيا وست إنوراليو
81,التعريف بالنفس,هل أنت من هنا؟ (مذكر),አንተ ከዚህ ነህ?,أنت كِزي نيه؟
82,التعريف بالنفس,هل أنت من هنا؟ (مؤنث),አንቺ ከዚህ ነሽ?,أنتشي كِزي نيش؟
83,التعريف بالنفس,لقد انتقلت للعيش هنا,ወደዚህ ተዛውሬ መጥቻለሁ,ويدي زي تيزاوري مِتتشاليو
84,التعريف بالنفس,أنا أعمل كـ...,በ... እሰራለሁ,بي... إسراليو
85,التعريف بالنفس,أنا طالب,እኔ ተማሪ ነኝ,إني تيماري نيني
86,التعريف بالنفس,أنا أدرس في الجامعة,በዩኒቨርሲቲ እማራለሁ,بيونيفرسيتي إمّاراليو
87,التعريف بالنفس,ما هو مجال دراستك؟ (مذكر),የጥናት መስክህ ምንድን ነው?,يطّنات مسكيه مندن نيو؟
88,التعريف بالنفس,ما هو مجال دراستك؟ (مؤنث),የጥናት መስክሽ ምንድን ነው?,يطّنات مسكش مندن نيو؟
89,التعريف بالنفس,أنا أدرس التاريخ,ታሪክ እያጠናሁ ነው,تاريك إياطيناهو نيو
90,التعريف بالنفس,أنا طبيب,እኔ ሐኪም ነኝ,إني حكيم نيني
91,التعريف بالنفس,أنا مهندس,እኔ መሐንዲስ ነኝ,إني ميحانديس نيني
92,التعريف بالنفس,أنا معلم,እኔ አስተማሪ ነኝ,إني أستيماري نيني
93,التعريف بالنفس,أنا رجل أعمال,እኔ የንግድ ሰው ነኝ,إني ينجد سِو نيني
94,التعريف بالنفس,أنا ربة منزل,እኔ የቤት እመቤት ነኝ,إني يبيت إمّبيت نيني
95,التعريف بالنفس,أنا عاطل عن العمل,ሥራ የለኝም,سِرا ييلّينيّم
96,التعريف بالنفس,أنا أبحث عن عمل,ሥራ እየፈለግሁ ነው,سِرا إييفيلّغوهو نيو
97,التعريف بالنفس,أنا أعمل في شركة,በድርጅት ውስጥ እሰራለሁ,بیدرّجت وست إسراليو
98,التعريف بالنفس,أنا متزوج (مذكر/مؤنث),እኔ ያገባሁ ነኝ,إني ياغيّباهو نيني
99,التعريف بالنفس,أنا أعزب (مذكر/مؤنث),እኔ ነጠላ ነኝ,إني نيطيلا نيني
100,التعريف بالنفس,أنا مطلق,እኔ የተፋታሁ ነኝ,إني يتيفتّاهو نيني
101,التعريف بالنفس,هل أنت متزوج؟ (مذكر),አግብተሃል?,أغبّتيَهال؟
102,التعريف بالنفس,هل أنت متزوجة؟ (مؤنث),አግብተሻል?,أغبّتيَشال؟
103,التعريف بالنفس,لدي طفل واحد,አንድ ልጅ አለኝ,أند لِجّ ألّيني
104,التعريف بالنفس,لدي طفلان,ሁለት ልጆች አሉኝ,هُليت (Hulet)
105,التعريف بالنفس,ليس لدي أطفال,ልጆች የሉኝም,لِجّوت ييلّوغنيّم
106,التعريف بالنفس,أنا الابن الأكبر,እኔ የበኩር ልጅ ነኝ,إني يبكور لِجّ نيني
107,التعريف بالنفس,أنا الابنة الصغرى,እኔ ታናሽ ሴት ልጅ ነኝ,إني تاناش سيت لِجّ نيني
108,التعريف بالنفس,لدي ثلاثة إخوة,ሦስት ወንድሞች አሉኝ,سوست وندّموتش ألوغني
109,التعريف بالنفس,لدي أخت واحدة,አንዲት እህት አለችኝ,أنديت إهت ألّتشيني
110,التعريف بالنفس,والدي متقاعد,አባቴ ጡረታ ወጥቷል,أبّاتي طوريتا وطّوال
111,التعريف بالنفس,أمي ربة منزل,እናቴ የቤት እመቤት ናት,إنّاتي يبيت إمّبيت نات
112,التعريف بالنفس,أنا أعيش مع عائلتي,ከቤተሰቤ ጋር እኖራለሁ,كبيتسيبي جار إنوراليو
113,التعريف بالنفس,أنا أعيش بمفردي,ለብቻዬ እኖራለሁ,ليبِتشايي إنوراليو
114,التعريف بالنفس,هل لديك حيوانات أليفة؟,የቤት እንስሳት አሉህ/አሉሽ?,يبيت إنسسات ألوه/ألوش؟
115,التعريف بالنفس,لدي قطة,ድመት አለኝ,دمّيت ألّيني
116,التعريف بالنفس,هوايتي هي...,የትርፍ ጊዜዬ ማሳለፊያዬ ነው...,يترْف غيزيـّي ماسالفيـّايي نيو...
117,التعريف بالنفس,أنا أحب القراءة,ማንበብ እወዳለሁ,مانبب إويدّاليو
118,التعريف بالنفس,أحب مشاهدة الأفلام,ፊልሞችን ማየት እወዳለሁ,فيلموتشِن مايت إويدّاليو
119,التعريف بالنفس,أنا أستمتع بالطبخ,ምግብ ማብሰል ያስደስተኛል,مغب مابسل ياسديستينيال
120,التعريف بالنفس,أنا أحب السفر,መጓዝ እወዳለሁ,ميجواز إويدّاليو
121,التعريف بالنفس,أنا أمارس الرياضة,ስፖርት እሰራለሁ,سبورت إسراليو
122,التعريف بالنفس,أنا ألعب كرة القدم,እግር ኳስ እጫወታለሁ,إغر كواس إتشاويتاليو
123,التعريف بالنفس,أنا لست رياضياً جداً,በጣም ስፖርተኛ አይደለሁም,بيتام سبورتيـّنا أيديليهوم
124,التعريف بالنفس,ما هو طعامك المفضل؟,ተወዳጅ ምግብህ/ምግብሽ ምንድን ነው?,تويّدّج مغبيه/مغبش مندن نيو؟
125,التعريف بالنفس,طعامي المفضل هو الإنجيرا,ተወዳጅ ምግቤ እንጀራ ነው,تويّدّج مغبي إنجيرا نيو
126,التعريف بالنفس,أنا أحب اللون الأزرق,ሰማያዊ ቀለም እወዳለሁ,سِماياوي (sämayawi) قيّلم إويدّاليو
127,التعريف بالنفس,أنا هادئ,እኔ ጸጥ ያለ ሰው ነኝ,إني تسِطّ يالّي سِو نيني
128,التعريف بالنفس,أنا نشيط,እኔ ንቁ ነኝ,إني نقو نيني
129,التعريف بالنفس,أنا خجول,እኔ ዓይናፋር ነኝ,إني عينافار نيني
130,التعريف بالنفس,أنا طموح,እኔ ምኞተኛ ነኝ,إني منيووتِنييا نيني
131,التعريف بالنفس,أنا متفائل دائماً,ሁልጊዜ ብሩህ አመለካከት አለኝ,هولغيزي برووه أميليكاكِت ألّيني
132,التعريف بالنفس,أنا لست صبوراً,እኔ ትዕግስት የለኝም,إني تِئِگست ييلّينيّم
133,التعريف بالنفس,أنا أحاول أن أكون ودوداً,ተግባቢ ለመሆን እሞክራለሁ,تيگّبّاوي ليمهون إمّوكِراليو
134,التعريف بالنفس,ما هي اهتماماتك؟,ፍላጎቶችህ/ፍላጎቶችሽ ምንድን ናቸው?,فلاغوتوتشيه/فلاغوتوتشيش مندن ناتشيو؟
135,التعريف بالنفس,أنا أستمع إلى الموسيقى,ሙዚቃ አዳምጣለሁ,موزيقا أدمطاليو
136,التعريف بالنفس,أنا أتحدث العربية,አረብኛ እናገራለሁ,أرِبّينيا إناجّراليو
137,التعريف بالنفس,أنا أتعلم الأمهرية,አማርኛ እየተማርኩ ነው,أمارينيا إييتيماركو نيو
138,التعريف بالنفس,هل تتحدث الإنجليزية؟ (مذكر),እንግሊዝኛ ትናገራለህ?,إنجليزينيا تِناجّراليه؟
139,التعريف بالنفس,هل تتحدث الإنجليزية؟ (مؤنث),እንግሊዝኛ ትናገሪያለሽ?,إنجليزينيا تِناجّريالش؟
140,التعريف بالنفس,أنا أتحدث قليلاً,ትንሽ እናገራለሁ,تنِش إناجّراليو
141,التعريف بالنفس,أنا لا أتحدث الأمهرية جيداً,አማርኛን በደንብ አልናገርም,أمارينيا بيديّنب ألناجّرم
142,التعريف بالنفس,أحاول تحسين لغتي,ቋንቋዬን ለማሻሻል እሞክራለሁ,قْوانقْوايِين لماشاشال إمّوكِراليو
143,التعريف بالنفس,أنا أعيش هنا منذ عام,እዚህ መኖር ከጀመርኩ አንድ ዓመት ሆኖኛል,إزي منور كيجبّرْكو أند عاميت هونوغنيال
144,التعريف بالنفس,أحب الأكل الإثيوبي,የኢትዮጵያ ምግብ እወዳለሁ,يإيتْيوبْيا مغب إويدّاليو
145,التعريف بالنفس,أنا هنا للعمل,እኔ እዚህ ያለሁት ለሥራ ነው,إني إزي يالّيهوت لسِرا نيو
146,التعريف بالنفس,أنا هنا للسياحة,እኔ እዚህ ያለሁት ለጉብኝት ነው,إني إزي يالّيهوت لگوبينيِت نيو
147,التعريف بالنفس,لدي خطة مستقبلية,የወደፊት እቅድ አለኝ,يوديفت إقد ألّيني
148,التعريف بالنفس,أريد أن أتعلم المزيد,የበለጠ መማር እፈልጋለሁ,يبيليت ميمار إفيلّغّاليو
149,التعريف بالنفس,أريد أن أزور أماكن جديدة,አዳዲስ ቦታዎችን መጎብኘት እፈልጋለሁ,أداّدِيس بوتاوُتشن ميگوبينيِت إفيلّغّاليو
150,التعريف بالنفس,ما هي أهدافك؟,ግቦችህ/ግቦችሽ ምንድን ናቸው?,گِبوتْشيه/گِبوتْشيش مندن ناتشيو؟
151,التعريف بالنفس,أنا أؤمن بالعمل الجاد,በጠንካራ ሥራ አምናለሁ,بطّنْكارا سِرا أمّناليو
152,التعريف بالنفس,أنا أحب مساعدة الناس,ሰዎችን መርዳት እወዳለሁ,سيوتشِن ميردات إويدّاليو
153,التعريف بالنفس,أنا أفكر في تغيير وظيفتي,ሥራዬን መቀየር እያሰብኩ ነው,سِرايِين مقيّر إياسبكو نيو
154,التعريف بالنفس,هذا كل شيء عني,ስለ እኔ ያለው ይህ ብቻ ነው,سِلي إني يالّيو يِه بتشا نيو
155,التعريف بالنفس,أنا أحب أن أكون في الهواء الطلق,ከቤት ውጪ መሆን እወዳለሁ,كبيت وِتشي مهون إويدّاليو
156,التعريف بالنفس,أنا أفضل القهوة,ቡና እመርጣለሁ,بونّا إميرْطاليو
157,التعريف بالنفس,أنا شخص صباحي,እኔ የጠዋት ሰው ነኝ,إني يطّوات سِو نيني
158,التعريف بالنفس,أنا شخص مسائي,እኔ የማታ ሰው ነኝ,إني يَمّاتا سِو نيني
159,التعريف بالنفس,أنا لست من محبي التلفزيون,የቴሌቪዥን አፍቃሪ አይደለሁም,يتيلڤيژن أفقاري أيديليهوم
160,التعريف بالنفس,أنا أقرأ الصحف,ጋዜጣዎችን አነባለሁ,غازيطاوُتشن أنبّاليو
161,التعريف بالنفس,أنا أستيقظ مبكراً,በማለዳ እነሳለሁ,بماّلِدا إنّساليو
162,التعريف بالنفس,أنا أنام متأخراً,በዘገየ እተኛለሁ,بزيگّيي إتّينياليو
163,التعريف بالنفس,أنا أحب الحيوانات,እንስሳትን እወዳለሁ,إنسساتن إويدّاليو
164,التعريف بالنفس,أنا لا أحب الضوضاء,ጫጫታ አልወድም,تشّاتشّاتا ألوِدّم
165,التعريف بالنفس,أنا مشغول جداً هذه الأيام,በዚህ ቀናት በጣም ተጠምጃለሁ,بزي قيّنات بيتام تيطمّجاليو
166,التعريف بالنفس,لدي الكثير لأفعله,ብዙ የሚሠራው ነገር አለኝ,بزو يَمّيسِرّاو نيگر ألّيني
167,التعريف بالنفس,أنا آمل في السعادة,ደስታን ተስፋ አደርጋለሁ,دِستان تسفا أدرگاليو
168,التعريف بالنفس,أنا أخطط لرحلة,ጉዞ እያቀድኩ ነው,گوزو إياقدكو نيو
169,التعريف بالنفس,أنا أحب إثيوبيا كثيراً,ኢትዮጵያን በጣም እወዳታለሁ,إيتْيوبْيان بيتام إويدّاتاليو
170,التعريف بالنفس,أشعر أنني في بيتي,ቤቴ እንደሆነ ይሰማኛል,بيتي إنديّهون يِسيمّانيال
171,التعريف بالنفس,أنا أقدر الصداقة,ጓደኝነትን አደንቃለሁ,گْوادينيـّنتن أدينقاليو
172,التعريف بالنفس,أنا أفكر بإيجابية,በአዎንታዊ መልኩ አስባለሁ,بأوّنتاوي ملكو أسّباليو
173,التعريف بالنفس,أنا صريح,እኔ ግልጽ ነኝ,إني گلص نيني
174,التعريف بالنفس,أنا أحب تعلم اللغات,ቋንቋዎችን መማር እወዳለሁ,قْوانقْواوُتشن ميمار إويدّاليو
175,التعريف بالنفس,أنا أبحث عن أصدقاء جدد,አዳዲስ ጓደኞችን እፈልጋለሁ,أداّدِيس گْوادينيـّوتشن إفيلّغّاليو
176,التعريف بالنفس,أتمنى أن نلتقي مرة أخرى,እንደገና እንደምንገናኝ ተስፋ አደርጋለሁ,إندگّنا إنديمنّيگينيان تسفا أدرگاليو
177,التعريف بالنفس,شكراً جزيلاً,በጣም አመሰግናለሁ,بيتام أمسيجّناليو
178,التعريف بالنفس,مع السلامة (مذكر),ደህና ሁን,ديحنا هون
179,التعريف بالنفس,مع السلامة (مؤنث),ደህና ሁኚ,ديحنا هوني
180,التعريف بالنفس,إلى اللقاء,ቸር እንገናኝ,تشِر إنگيناني
181,التعريف بالنفس,أراك لاحقاً,ቆይቼ እመለሳለሁ,قْويتشّي إميلّساليو
182,التعريف بالنفس,أتمنى لك يوماً سعيداً,መልካም ቀን እመኛለሁ,ملكام قيّن إمّينياليو
183,التعريف بالنفس,أتمنى لك حظاً سعيداً,መልካም ዕድል እመኛለሁ,ملكام إدل إمّينياليو
184,التعريف بالنفس,هذه بطاقتي الشخصية,ይህ የግል መታወቂያዬ ነው,يِه يِگل مِتاوِقيـّيي نيو
185,التعريف بالنفس,تفضل رقم هاتفي,የስልክ ቁጥሬን ይውሰዱ,يسِلك قوطرّين يوِسيِدو
186,التعريف بالنفس,تفضل بريدي الإلكتروني,ኢሜሌን ይውሰዱ,إيميلّين يوِسيِدو
187,التعريف بالنفس,هل يمكنني إضافة رقمك؟,ቁጥርህን/ቁጥርሽን ማስቀመጥ እችላለሁ?,قوطرّهن/قوطرشِن ماسقيَمِط إتشّلّاليو؟
188,التعريف بالنفس,أنا سعيد بالحديث معك,ካንተ/ካንቺ ጋር በመነጋገር ደስ ብሎኛል,كانتِ/كانتشي جار بِمّينيجاجر دس بلوغنيال
189,التعريف بالنفس,سأكون سعيداً بالتواصل,ለመገናኘት ደስ ይለኛል,لِمّيگينيانيت دس يِليغنيال
190,التعريف بالنفس,أنا أحب هذا المكان,ይህን ቦታ እወደዋለሁ,يِهِن بوتا إويدّيوّاليو
191,التعريف بالنفس,هل لديك أخبار جيدة؟,መልካም ዜና አለህ/አለሽ?,ملكام زينا ألّيه/ألّيش؟
192,التعريف بالنفس,أنا فخور بعائلتي,በቤተሰቤ እኮራለሁ,ببيتسيبي إكّوراليو
193,التعريف بالنفس,أنا لست خبيراً,እኔ ባለሙያ አይደለሁም,إني باليمويا أيديليهوم
194,التعريف بالنفس,أنا أعمل بجهد,ጠንክሬ እሠራለሁ,طنكرّي إسراليو
195,التعريف بالنفس,أنا أتعلم بسرعة,በፍጥነት እማራለሁ,بفتّنِت إمّاراليو
196,التعريف بالنفس,أنا إيجابي,እኔ አዎንታዊ ሰው ነኝ,إني أوّنتاوي سِو نيني
197,التعريف بالنفس,أنا لا أحب الكسل,ስንፍናን አልወድም,سنفنان ألوِدّم
198,التعريف بالنفس,سأراك قريباً,በቅርቡ እገናኝሃለሁ/እገናኝሻለሁ,بقرّبو إگينانيْهاليو/إگينانيْشاليو
199,العائلة والأقارب,عائلتي كبيرة,ቤተሰቤ ትልቅ ነው,بَيتي سِب تِلِق ناو (baeteseb tələq näw)
200,العائلة والأقارب,أنا أحب عائلتي,ቤተሰቦቼን እወዳለሁ,بيتيسبوتشين إويداليو
201,العائلة والأقارب,من هو والدك؟,አባትህ ማነው,أباتِه ماناو
202,العائلة والأقارب,أمي طباخة ماهرة,እናቴ ጎበዝ ምግብ አብሳይ ናት,إناتيه گوبز مغب أبساي نات
203,العائلة والأقارب,كم أخ لديك؟,ስንት ወንድም አለህ,سنت وندم أله
204,العائلة والأقارب,أخي الأكبر يعيش في الخارج,ታላቅ ወንድሜ በውጭ ይኖራል,تالاق وندميه بَوِتش يِنورال
205,العائلة والأقارب,أختي الصغرى تدرس,ታናሽ እህቴ ታጠናለች,تاناش إهتيه تاتنالش
206,العائلة والأقارب,جدتي حكيمة جداً,አያቴ በጣም ጥበበኛ ናት,آياتيه بيتم طبِبينيا نات
207,العائلة والأقارب,جدي يحكي لنا قصصاً,አያቴ ታሪኮችን ይነግረናል,آياتيه تاريخوتشين ينيگرِنال
208,العائلة والأقارب,نحن عائلة سعيدة,እኛ ደስተኛ ቤተሰብ ነን,إِنيا دِستينا بيتيسب نِن
209,العائلة والأقارب,أين تعيش عائلتك؟,ቤተሰብህ የት ነው የሚኖረው,بيتيسبِه يت ناو يمينوراو
210,العائلة والأقارب,نحن نتناول العشاء معاً,እራት በአንድ ላይ እንበላለን,إرات بأند لاي إنبيلالن
211,العائلة والأقارب,أبي يعمل بجد,አባቴ ጠንክሮ ይሠራል,أباتيه تنكرو يسيِرال
212,العائلة والأقارب,أمي تعتني بنا,እናቴ ትጠብቀናለች,إناتيه تتبيقينالش
213,العائلة والأقارب,لدي الكثير من الأقارب,ብዙ ዘመዶች አሉኝ,بزُ زيمدوتش ألولني
214,العائلة والأقارب,سنزور عمي قريباً,በቅርቡ አጎቴን እንጠይቃለን,بقرّبو أگوتين إنطييقالن
215,العائلة والأقارب,عمتي لطيفة جداً,አክስቴ በጣም ደግ ነች,أكستيه بيتم ديگ نِتش
216,العائلة والأقارب,ابن عمي طبيب,የአጎቴ ልጅ ሐኪም ነው,يِأگوتيه لِج حكيم ناو
217,العائلة والأقارب,ابنة خالتي معلمة,የአክስቴ ልጅ አስተማሪ ናት,يِأكستيه لِج أستيماري نات
218,العائلة والأقارب,أحب قضاء الوقت معهم,ከእነሱ ጋር ጊዜ ማሳለፍ እወዳለሁ,كإنسو گار گيزيه ماسالِف إويداليو
219,العائلة والأقارب,عيد الميلاد هو وقت عائلي,ልደት የቤተሰብ ጊዜ ነው,لِدت ييبيتيسب گيزيه ناو
220,العائلة والأقارب,هل لديك أطفال؟,ልጆች አሉህ,لِجوتش ألوه
221,العائلة والأقارب,الطفل الأصغر ينام الآن,ትንሹ ልጅ አሁን ተኝቷል,تِنشو لِج أهون تنيتوال
222,العائلة والأقارب,زوجي يعمل في البنك,ባለቤቴ በባንክ ይሠራል,باليبيتيه ببّانك يسيِرال
223,العائلة والأقارب,زوجتي مهندسة,ባለቤቴ መሀንዲስ ናት,باليبيتيه مِهنديس نات
224,العائلة والأقارب,أحترم والديّ,ወላጆቼን አከብራለሁ,وِلاجوچين أكِبراليو
225,العائلة والأقارب,العائلة هي كل شيء,ቤተሰብ ሁሉም ነገር ነው,بيتيسب هولم نيگر ناو
226,العائلة والأقارب,أبي رجل عظيم,አባቴ ታላቅ ሰው ነው,أباتيه تالاق ساو ناو
227,العائلة والأقارب,أمي هي الأفضل,እናቴ ምርጥ ነች,إناتيه مرط نِتش
228,العائلة والأقارب,هل تزوجت؟,አግብተሃል,أجبتيهال
229,العائلة والأقارب,أنا غير متزوج/عزباء,አላገባሁም,ألاگباهوم
230,العائلة والأقارب,أنا متزوج/متزوجة,አግብቻለሁ,أجبتشاليو
231,العائلة والأقارب,بيت جدي قديم جداً,የአያቴ ቤት በጣም ያረጀ ነው,يِأياتيه بيت بيتم يارِج ناو
232,العائلة والأقارب,نحن نساعد بعضنا البعض,እርስ በእርስ እንረዳዳለን,إرس بئرس إنرِدّادالن
233,العائلة والأقارب,نحن نحتفل معاً,በአንድ ላይ እናከብራለን,بأند لاي إناكبرالن
